coauthor	all_isiks	all_viafs	localid
$aLaja, Peeter,$d1897-1970	ISIK1343	http://viaf.org/viaf/27331530	385
$aArro, Edgar,$d1911-1978	ISIK135	http://viaf.org/viaf/55198258	392
$aLampson, Peeter,$d1819-1895	ISIK1354	http://viaf.org/viaf/3474149544586700490007	397
$aLang, Juhan,$d1888-1977	ISIK1359	http://viaf.org/viaf/160147370693041441984	402
$aLao, Voldemar,$d1903-1941	ISIK1365	http://viaf.org/viaf/300716215	409
$aLaosson, Max,$d1904-1992	ISIK1367	http://viaf.org/viaf/165147373390941580006	411
$aLarens, Karl,$d1866-1953	ISIK1370	http://viaf.org/viaf/125149542641200301056	415
$aLass, Johannes,$d1885-1938	ISIK1376	http://viaf.org/viaf/51149542904300302565	421
$aLattik, Andres,$d1862-1945	ISIK1379	http://viaf.org/viaf/138149542571800300074	424
$aLattik, Jaan,$d1878-1967	ISIK1380 VEPER1638	http://viaf.org/viaf/23768889	426
$aKlement, Friedrich,$d1891-1958	ISIK1383	http://viaf.org/viaf/17149542976900302901	429
$aKlesment, Johannes,$d1896-1967	ISIK1387 VEPER2901	http://viaf.org/viaf/72412008	433
$aKlesment, Richard,$d1898-1944	ISIK1388	http://viaf.org/viaf/5149542819800301981	434
$aArrover, Oskar	ISIK139	http://viaf.org/viaf/128149542837600301920	436
$aKlimberg, Ferdinand,$d1895-1937	ISIK1390	http://viaf.org/viaf/2149542846300302046	437
$aKnüpffer, Arnold,$d1777-1843	ISIK1396	""	443
$aKoort, Jaan,$d1883-1935	ISIK1402	http://viaf.org/viaf/34563661	451
$aKoppel, Henrik,$d1863-1944	ISIK1406	http://viaf.org/viaf/306221133	455
$aKoppel, K	ISIK1409	""	458
$aKoppel, K.	ISIK1409	""	458
$aKoppel, Karl,$d1867-?	ISIK1409	""	458
$aArski, R.,$cpseud	ISIK141	""	459
$aKoppel, M	ISIK1410	""	460
$aKoppel, Marie,$d1867-1952	ISIK1410	""	460
$aKorsen, August,$d1912-1946	ISIK1418	http://viaf.org/viaf/11152379994801761084	468
$aKorvet, Kaarel,$cpseud.,$d1906-1980	ISIK1419	http://viaf.org/viaf/1992149544575000490005	469
$aKorts-Lindus, Jakob,$d1875-?	ISIK1420	http://viaf.org/viaf/9149542632900300987	471
$aKosenkranius, Karl	ISIK1422	""	473
$aKotli, Alar,$d1904-1963	ISIK1426	http://viaf.org/viaf/5739113	477
$aKotsar, J.	ISIK1428	""	479
$aKotsar, J.,$d	ISIK1428	""	479
$aKotsar, Jüri	ISIK1428	""	479
$aKotsar, Kustas,$d1872-1942	ISIK1429	http://viaf.org/viaf/4249149544592800490006	480
$aKotta, Felix,$d1910-1963	ISIK1430	http://viaf.org/viaf/848147270633135700007	482
$aKrass, Friedrich,$d1877-1914	ISIK1438 ISIK1439	http://viaf.org/viaf/58149542774900301364	490
$aKoel, Anton,$d1900-1943	ISIK1441	http://viaf.org/viaf/6484149544610000490009	494
$aRahula, Arvi,$cpseud.,$d1900-1943	ISIK1441	http://viaf.org/viaf/6484149544610000490009	494
$aKoern, August,$d1900-1989	ISIK1442 VEPER1631	http://viaf.org/viaf/1284149544569500490008	495
$aKogerman, Paul,$d1891-1951	ISIK1448	http://viaf.org/viaf/70041954	501
$aArumaa, Peeter,$d1900-1982	ISIK145 VEPER892	http://viaf.org/viaf/29153938	503
$aKohava, Priidu,$d1887-1944(1945)	ISIK1451	http://viaf.org/viaf/305257245	505
$aKoit, Peeter,$d1857-1935	ISIK1456	""	510
$aArvelius, Friedrich Gustav,$d1753-1806	ISIK146	http://viaf.org/viaf/3261640	514
$aKokla, K.	ISIK1460	http://viaf.org/viaf/1497149544571100490008	515
$aKokla, Konstantin,$d1878-1946	ISIK1460	http://viaf.org/viaf/1497149544571100490008	515
$aKrigul, Teodor,$d1907-1983	ISIK1463	http://viaf.org/viaf/221046809	518
$aKreutzwald, Friedrich Reinhold,$d1803-1882	ISIK1475	http://viaf.org/viaf/50932	531
$aKrimm, Kaarel,$d1863-1894	ISIK1477	""	533
$aKolk, Oskar	ISIK1481	""	538
$aKompus, Hanno,$d1890-1974	ISIK1487 VEPER1204	http://viaf.org/viaf/47755861	544
$aKompus, Jaan,$d1858-1940	ISIK1488	http://viaf.org/viaf/85149542737000301146	545
$aKonik, Konstantin,$d1873-1936	ISIK1492	http://viaf.org/viaf/4923814	550
$aKook, Eduard,$d1912-1991	ISIK1497	http://viaf.org/viaf/56183643	555
$aKook, Rudolf,$d1895-1919	ISIK1498	""	556
$aKool, Ferdinand,$d1895-1973	ISIK1499 VEPER3467	http://viaf.org/viaf/52923585	557
$aRahu, Kalju,$cpseud.,$d1895-1973	ISIK1499 VEPER3467	http://viaf.org/viaf/52923585	557
$aAspel, Aleksander,$d1908-1975	ISIK150 VEPER1177	http://viaf.org/viaf/9390895	559
$aKool, J	ISIK1500 ISIK1501	""	560
$aKool, Johannes	ISIK1500 ISIK1501	""	560
$aLeithammel, August,$d1866-1945	ISIK1509	http://viaf.org/viaf/82149542581500300449	568
$aLeithammel, M	ISIK1511	""	571
$aLeithammel, M.	ISIK1511	""	571
$aKrohn, Kaarle,$d1863-1933	ISIK1521	http://viaf.org/viaf/29525733	582
$aKrug, Bernhard	ISIK1526	""	587
$aLaugaste, Eduard,$d1909-1994	ISIK1529	http://viaf.org/viaf/196441916	590
$aAst, Gottlieb,$d1874-1919	ISIK153	http://viaf.org/viaf/1125149544568300490001	591
$aLaur, Märt,$d?-1895	ISIK1535	""	597
$aLaur, T.	ISIK1536	""	598
$aLaur, Tiido,$d1882-1930	ISIK1536	""	598
$aAst-Rumor, Karl,$d1886-1971	ISIK154 ISIK6542 VEPER1620	http://viaf.org/viaf/12718469	602
$aOrava, Kaarlo,$cpseud.,$d1886-1971	ISIK154 ISIK6542 VEPER1620	http://viaf.org/viaf/12718469	602
$aRannaleet, Ain,$cpseud.,$d1904-1937	ISIK1540	http://viaf.org/viaf/43143773	603
$aLauristin, Johannes,$d1899-1941	ISIK1545	http://viaf.org/viaf/78302651	608
$aMadarik, Juhan,$cpseud.,$d1899-1941	ISIK1545	http://viaf.org/viaf/78302651	608
$aLauter, Ants,$d1894-1973	ISIK1547	http://viaf.org/viaf/65544043	610
$aLebedev, Dimitri,$d1872-1935	ISIK1548	http://viaf.org/viaf/106144648518312137559	611
$aLeemets, Jaan	ISIK1553	""	617
$aLeemets, Voldemar,$d1896-1939	ISIK1554	http://viaf.org/viaf/843149544566100490008	618
$aKrusten Otto,$d1888-1937	ISIK1556	http://viaf.org/viaf/13137296	620
$aKrusten, Otto,$d1888-1937	ISIK1556	http://viaf.org/viaf/13137296	620
$aBalder Jaan,$cpseud.,$d1897-1987	ISIK1557 VEPER755	http://viaf.org/viaf/75879584	621
$aKrusten, Pedro,$cpseud.,$d1897-1987	ISIK1557 VEPER755	http://viaf.org/viaf/75879584	621
$aMiini Mihkel,$cpseud.,$d1897-1987	ISIK1557 VEPER755	http://viaf.org/viaf/75879584	621
$aLeesment, Leo,$d1902-1986	ISIK1558	http://viaf.org/viaf/103707453	622
$aLeetberg, K.	ISIK1559	http://viaf.org/viaf/1438149544570700490005	623
